#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
359,Andrew Sopko,621127,621127,sa658286,FA,SP,SP
360,Andrew Stevenson,664057,664057,17932,FA,OF,OF
361,Andrew Suarez,605498,605498,18300,FA,SP,SP
362,Andrew Susac,572180,13132,13132,FA,C,C
363,Andrew Swift,669439,669439,sa3017281,OAK,SS,SS
364,Andrew Thomas,673990,673990,sa3016953,SEA,C,C
365,Andrew Triggs,592811,13533,13533,FA,RP,RP
366,Andrew Vasquez,607755,607755,19482,TOR,RP,RP
367,Andrew Vaughn,683734,683734,26197,CHW,OF,1B/OF
368,Andrew Velazquez,623205,623205,14196,LAA,SS,SS
369,Andrew Wantz,681806,681806,24933,LAA,RP,RP
370,Andrew Yerzy,647378,647378,sa917939,ARI,C,C
371,Andrew Young,670370,670370,19521,WSH,2B,2B
372,Andrick Nava,682774,682774,sa3010693,PHI,C,C
373,Andro Cutura,656345,656345,sa827476,FA,SP,SP
374,Andruw Monasterio,655316,655316,sa830359,MIL,SS,SS
375,Andrws Cruz,696081,696081,sa3015734,CHC,SS,SS
376,Andry Arias,678357,678357,sa3005735,WSH,OF,OF
377,Andry Lara,691251,691251,sa3014716,WSH,SP,SP
378,Andy Burns,542992,12779,12779,LAD,3B,3B
379,Andy Espinosa,695965,695965,sa3015732,LAD,3B,3B
380,Andy Ibanez,628451,628451,18819,TEX,2B/3B,1B/2B/ 3B
381,Andy Pages,681624,681624,sa3005625,LAD,OF,OF
382,Andy Perez,700321,700321,sa3015857,COL,SS,SS
383,Andy Sugilio,650443,650443,sa828414,FA,3b,3b
384,Andy Weber,681581,681581,sa3008282,CHC,SS,SS
385,Aneudis Mordan,698937,698937,sa3015741,BAL,C,C
386,Aneuris Rosario,656080,656080,sa828343,CHC,RP,RP
387,Aneurys Zabala,656008,656008,sa828514,MIA,RP,RP
388,Anfernee Grier,624505,624505,sa738988,FA,OF,OF
389,Angel Acevedo,667686,667686,sa917893,CHW,SP,SP
390,Angel Aguilar,622758,622758,sa657323,NYY,SS,SS
391,Angel Aponte,672749,672749,sa3003319,TEX,OF,OF
392,Angel Bastardo,682785,682785,sa3009716,BOS,SP,SP
393,Angel Bautista,682959,682959,sa3010864,FA,2B,2B
394,Angel De Jesus,669804,669804,22323,DET,RP,RP
395,Angel Del Rosario,692489,692489,,TOR,,
396,Angel Felipe,665734,665734,sa881181,SD,RP,RP
397,Angel Genao,694197,694197,sa3015706,CLE,SS,SS
398,Angel Lopez,676698,676698,sa3004167,CLE,C,C
399,Angel Macuare,672836,672836,sa3003039,HOU,SP,SP
400,Angel Martinez,682657,682657,sa3008762,CLE,SS,SS
401,Angel Padron,660689,660689,sa873319,FA,SP,SP
402,Angel Parra,699287,699287,sa3016556,KC,OF,OF
403,Angel Perdomo,622780,622780,17759,MIL,RP,RP
404,Angel Rondon,667373,667373,22036,STL,SP,SP
405,Angel Solarte,678222,678222,sa3007037,SD,OF,OF
406,Angel Zerpa,672582,672582,22717,KC,SP,SP
407,Angelo Castellano,613546,613546,sa657521,KC,3b,3b
408,Angeudis Santos,683649,683649,sa3009794,MIA,SS,SS
409,Anibal Sanchez,434671,3284,3284,WSH,SP,SP
410,Anibal Sierra,671242,671242,sa908626,HOU,SS,SS
411,Anthony Alford,546990,14329,14329,CLE,OF,OF
412,Anthony Banda,607455,607455,14706,PIT,RP,RP
413,Anthony Bass,542914,542914,7982,MIA,RP,RP
414,Anthony Bemboom,621532,621532,13854,BAL,C,C
415,Anthony Bender,669622,669622,19742,MIA,RP,RP
416,Anthony Block,670191,670191,sa3014916,KC,SP,SP
417,Anthony Castro,621593,621593,19789,CLE,RP,RP
418,Anthony DeSclafani,543101,13050,13050,SF,SP,SP
419,Anthony Garcia,571685,11488,sa502038,NYY,OF,OF
420,Anthony Gose,543238,5097,5097,CLE,RP,RP
421,Anthony Gutierrez,703152,703152,,TEX,,
422,Anthony Hightower,664152,664152,sa875703,PIT,SP,SP
423,Anthony Jimenez,650854,650854,sa826672,FA,OF,OF
424,Anthony Kay,641743,641743,20387,TOR,SP,SP
425,Anthony Misiewicz,664948,664948,18152,SEA,RP,RP
426,Anthony Molina,683627,683627,sa3009727,TB,RP,RP
427,Anthony Mulrine,688226,688226,sa1170373,LAA,C,C
428,Anthony Prato,668791,668791,sa1052903,MIN,2B,2B
429,Anthony Quirion,688815,688815,sa3017477,PHI,C,C
430,Anthony Rendon,543685,12861,12861,LAA,3B,3B
